Model,Attack_Type,Param,Accuracy
Free-AT(m=2),Clean,-,99.07
Free-AT(m=2),Fixed-Saliency,k=3,84.4
Free-AT(m=2),Fixed-Saliency,k=5,77.38
Free-AT(m=2),Fixed-Saliency,k=7,71.12
Free-AT(m=2),Fixed-Saliency,k=9,66.64
Free-AT(m=2),Fixed-Saliency,k=12,60.27
Free-AT(m=2),Fixed-Saliency,k=15,55.0
Free-AT(m=2),Fixed-Saliency,r=1,66.64
Free-AT(m=2),Fixed-Saliency,r=2,57.54
Free-AT(m=2),Fixed-Saliency,r=3,48.53
Free-AT(m=2),Adaptive-Saliency,"N=3,R=3",47.08
Free-AT(m=2),Adaptive-Saliency,"N=5,R=3",33.95
Free-AT(m=2),Adaptive-Saliency,"N=7,R=3",25.62
Free-AT(m=2),Adaptive-Saliency,"N=10,R=3",16.91
Free-AT(m=2),Adaptive-Saliency,"N=5,R=2",46.46
Free-AT(m=2),Adaptive-Saliency,"N=5,R=3",33.95
Free-AT(m=2),Adaptive-Saliency,"N=5,R=4",25.96
Free-AT(m=5),Clean,-,98.89
Free-AT(m=5),Fixed-Saliency,k=3,87.99
Free-AT(m=5),Fixed-Saliency,k=5,83.55
Free-AT(m=5),Fixed-Saliency,k=7,79.29
Free-AT(m=5),Fixed-Saliency,k=9,75.43
Free-AT(m=5),Fixed-Saliency,k=12,70.36
Free-AT(m=5),Fixed-Saliency,k=15,65.44
Free-AT(m=5),Fixed-Saliency,r=1,75.43
Free-AT(m=5),Fixed-Saliency,r=2,66.83
Free-AT(m=5),Fixed-Saliency,r=3,60.83
Free-AT(m=5),Adaptive-Saliency,"N=3,R=3",57.68
Free-AT(m=5),Adaptive-Saliency,"N=5,R=3",43.6
Free-AT(m=5),Adaptive-Saliency,"N=7,R=3",32.78
Free-AT(m=5),Adaptive-Saliency,"N=10,R=3",21.63
Free-AT(m=5),Adaptive-Saliency,"N=5,R=2",56.29
Free-AT(m=5),Adaptive-Saliency,"N=5,R=3",43.6
Free-AT(m=5),Adaptive-Saliency,"N=5,R=4",32.95
Free-AT(m=10),Clean,-,98.8
Free-AT(m=10),Fixed-Saliency,k=3,91.62
Free-AT(m=10),Fixed-Saliency,k=5,87.1
Free-AT(m=10),Fixed-Saliency,k=7,83.54
Free-AT(m=10),Fixed-Saliency,k=9,79.77
Free-AT(m=10),Fixed-Saliency,k=12,75.01
Free-AT(m=10),Fixed-Saliency,k=15,70.68
Free-AT(m=10),Fixed-Saliency,r=1,79.77
Free-AT(m=10),Fixed-Saliency,r=2,69.61
Free-AT(m=10),Fixed-Saliency,r=3,60.79
Free-AT(m=10),Adaptive-Saliency,"N=3,R=3",61.03
Free-AT(m=10),Adaptive-Saliency,"N=5,R=3",48.3
Free-AT(m=10),Adaptive-Saliency,"N=7,R=3",39.3
Free-AT(m=10),Adaptive-Saliency,"N=10,R=3",28.99
Free-AT(m=10),Adaptive-Saliency,"N=5,R=2",61.95
Free-AT(m=10),Adaptive-Saliency,"N=5,R=3",48.3
Free-AT(m=10),Adaptive-Saliency,"N=5,R=4",36.95
Free-AT(m=25),Clean,-,98.27
Free-AT(m=25),Fixed-Saliency,k=3,92.56
Free-AT(m=25),Fixed-Saliency,k=5,89.54
Free-AT(m=25),Fixed-Saliency,k=7,86.21
Free-AT(m=25),Fixed-Saliency,k=9,83.58
Free-AT(m=25),Fixed-Saliency,k=12,79.35
Free-AT(m=25),Fixed-Saliency,k=15,75.54
Free-AT(m=25),Fixed-Saliency,r=1,83.58
Free-AT(m=25),Fixed-Saliency,r=2,72.15
Free-AT(m=25),Fixed-Saliency,r=3,62.84
Free-AT(m=25),Adaptive-Saliency,"N=3,R=3",62.77
Free-AT(m=25),Adaptive-Saliency,"N=5,R=3",51.04
Free-AT(m=25),Adaptive-Saliency,"N=7,R=3",42.18
Free-AT(m=25),Adaptive-Saliency,"N=10,R=3",31.83
Free-AT(m=25),Adaptive-Saliency,"N=5,R=2",63.76
Free-AT(m=25),Adaptive-Saliency,"N=5,R=3",51.04
Free-AT(m=25),Adaptive-Saliency,"N=5,R=4",40.16
Free-AT(m=50),Clean,-,98.4
Free-AT(m=50),Fixed-Saliency,k=3,85.73
Free-AT(m=50),Fixed-Saliency,k=5,80.58
Free-AT(m=50),Fixed-Saliency,k=7,76.5
Free-AT(m=50),Fixed-Saliency,k=9,72.85
Free-AT(m=50),Fixed-Saliency,k=12,68.26
Free-AT(m=50),Fixed-Saliency,k=15,64.06
Free-AT(m=50),Fixed-Saliency,r=1,72.85
Free-AT(m=50),Fixed-Saliency,r=2,66.43
Free-AT(m=50),Fixed-Saliency,r=3,59.79
Free-AT(m=50),Adaptive-Saliency,"N=3,R=3",57.82
Free-AT(m=50),Adaptive-Saliency,"N=5,R=3",45.65
Free-AT(m=50),Adaptive-Saliency,"N=7,R=3",37.16
Free-AT(m=50),Adaptive-Saliency,"N=10,R=3",26.84
Free-AT(m=50),Adaptive-Saliency,"N=5,R=2",56.24
Free-AT(m=50),Adaptive-Saliency,"N=5,R=3",45.65
Free-AT(m=50),Adaptive-Saliency,"N=5,R=4",36.06
